ItemID,CategoryNameAr,CategoryNameEn,SubCategoryNameAr,SubCategoryNameEn,SubSubCategoryNameAr,SubSubCategoryNameEn,BrandName,Price,NameAr,NameEn,BarCode,DescriptionTextAr,DescriptionTextEn,KeyFeaturesEn,HowtoUseEn,isVisible,imageUrl
68284,مستحضرات طبية,DERMOCOSMETICS,منتجات طبية للوجه,DERMO FACE,تبييض الوجه طبي,DERMO FACE WHITENING,ACM,31.25,ACM DEPIWHITE ADVANCED ANTI BROWN SPOTS 40 ML,ACM DEPIWHITE ADVANCED ANTI BROWN SPOTS 40 ML,3.76E+12,"كريم ACM Depiwhite Advanced هو تركيبة متخصصة صُممت خصيصًا لاستهداف وتقليل ظهور البقع البنية وفرط التصبغ. يساعد على توحيد لون البشرة واستعادة إشراقتها، مع منع ظهور التصبغات مرة أخرى. يتميز بقوام خفيف ومرطب يناسب الوجه، اليدين، ومنطقة الصدر.  المميزات الرئيسية: • تصحيح متقدم للتصبغات: يقلل من البقع البنية ويوحّد لون البشرة. • منع ظهور التصبغات: يساعد في منع إعادة ظهور التصبغات من خلال تنظيم إنتاج الميلانين. • استخدام متعدد: مناسب للوجه، اليدين، والمناطق الأخرى المتأثرة بالتصبغات. • لطيف وفعّال: مختبر جلدياً ومناسب لجميع أنواع البشرة، بما في ذلك البشرة الحساسة. • ترطيب مثالي: يترك البشرة ناعمة ومرطبة.  طريقة الاستخدام: • يُوضع طبقة رقيقة على المناطق المتأثرة مرة واحدة يومياً، ويفضّل في المساء. • يُدلك بلطف حتى يتم امتصاصه بالكامل. • يُوصى باستخدام واقي الشمس يومياً للحصول على حماية مثالية من التصبغات الناتجة عن الأشعة فوق البنفسجية.  ","Experience the power of advanced skincare with ACM's Depiwhite Advanced Anti-Brown Spots Cream, a potent 40ml solution designed to tackle stubborn brown spots like chloasma and liver spots. This intensive cream combines nine major rejuvenating active ingredients to inhibit melanin synthesis and lighten dark spots. Unlike competitors that merely mask imperfections, Depiwhite Advanced works from within to attenuate or eliminate them, unifying your skin tone and revealing a more radiant complexion. Ideal for targeting pregnancy mask or aging hyperpigmentation on the face, neckline, and hands, this fluid, non-scented cream is gentle yet effective","1. **Advanced Formula**: Nine major active ingredients target melanin production and lighten dark spots
2. **Intensive Action**: Works from within to attenuate or eliminate brown spots, not just mask them
3. **Versatile Use**: Suitable for face, neckline, and hands; ideal for fading pregnancy mask or aging hyperpigmentation
4. **Gentle yet Effective**: Fluid, non-scented cream that's suitable for all skin types
5. **Patented Technology**: Utilizes proteolytic enzymes responsible for melanin degradation to significantly correct dark spots",Apply ACM Depiwhite Advanced Anti-Brown Spots Cream twice daily to affected areas after cleansing. Allow it to absorb fully before applying makeup or other skincare products.,1,https://d3slxmaa2mql88.cloudfront.net/68284.jpg
68285,مستحضرات طبية,DERMOCOSMETICS,منتجات طبية للوجه,DERMO FACE,غسول وجه طبي,DERMO FACE CLEANSING,ACM,25.9,ACM DEPIWHITE PEEL OFF MASK 40ML,ACM DEPIWHITE PEEL OFF MASK 40ML,3.76E+12,"قناع التقشير ACM Depiwhite هو علاج مبتكر يساعد على تقليل التصبغات وتفتيح البشرة. يحتوي على مكونات فعّالة تستهدف إنتاج الميلانين، مما يساهم في تفتيح البقع الداكنة وتحسين ملمس البشرة. يعمل نظام التقشير على إزالة خلايا الجلد الميتة بلطف، ليترك البشرة ناعمة، مشرقة، وأكثر توحيداً في اللون.  المميزات الرئيسية: • تقليل التصبغات: يساعد في تقليل البقع الداكنة وتفتيح البشرة. • تأثير تفتيح: يوحّد لون البشرة ويعزز إشراقتها الطبيعية. • تقنية التقشير: يزيل الشوائب وخلايا الجلد الميتة للحصول على بشرة أكثر نعومة. • لطيف على البشرة: مختبر جلدياً ومناسب للبشرة الحساسة. • سهولة الاستخدام: يوفر تجربة علاجية احترافية في المنزل.  طريقة الاستخدام: 1. يُوضع طبقة رقيقة ومتساوية على بشرة نظيفة وجافة، مع تجنب منطقة العينين. 2. يُترك لمدة 20-30 دقيقة حتى يجف تماماً. 3. يُزال بلطف عن طريق التقشير بدءاً من الحواف. 4. يُستخدم 1-2 مرة أسبوعياً للحصول على أفضل النتائج.  ","Experience the power of brightening with ACM's Depiwhite Peel Off Mask, a game-changer in your skincare routine! This 40ml mask harnesses the prowess of Vitamin C and Kojic Acid to tackle hyperpigmentation and dullness, revealing an instant glow. Unlike its competitors like Dr. Reddy's or The Face Shop's masks that focus solely on brightening, ACM's Depiwhite goes a step further by unifying your complexion and reducing the appearance of aging keratin and stubborn blackheads","1. **Powerful Brightening**: Vitamin C and Kojic Acid combat hyperpigmentation and dullness
2. **Complexion Unifying**: Reduces the appearance of brown spots and evens out skin tone
3. **Deep Cleansing**: Unique tear-off design helps remove aging keratin and stubborn blackheads
4. **Instant Glow**: Experience a noticeable difference in your skin's brightness after just one use
5. **Unisex Formula**: Suitable for all skin types, making it an excellent addition to any skincare regimen","Simply apply an even layer onto clean skin, avoiding the eye area. Let it dry for about 15-20 minutes before peeling off gently in the direction of hair growth. Rinse off any residue and revel in your newfound radiance!",1,https://d3slxmaa2mql88.cloudfront.net/68285.jpg
71236,مستحضرات طبية,DERMOCOSMETICS,منتجات طبية للوجه,DERMO FACE,غسول وجه طبي,DERMO FACE CLEANSING,ACM,20.95,ACM DEPIWHITE FOAMING GEL,ACM DEPIWHITE FOAMING GEL,3.76E+12,,"Experience the power of advanced skincare with ACM's Depiwhite Foaming Gel, your secret weapon against dark spots and uneven skin tone. This revolutionary gel cleanser gently purifies while actively brightening, revealing a more radiant complexion over time. Enriched with Lumi-Ox™ complex, it targets melanin production to even out skin tone. Unlike other foaming gels that strip the skin, Depiwhite Foaming Gel respects your skin's natural balance, leaving it soft and luminous. Ideal for daily use, this 200ml bottle is perfect for maintaining a consistent skincare routine. Say goodbye to dark spots and hello to a more even complexion with ACM's Depiwhite Foaming Gel.","1. **Advanced Brightening**: Lumi-Ox™ complex targets melanin production to even out skin tone.
2. **Gentle Cleansing**: Foaming gel effectively removes impurities and excess sebum without stripping the skin.
3. **Daily Use**: Ideal for maintaining a consistent skincare routine with its 200ml bottle size.
4. **Non-Scented**: Suitable for all skin types, including sensitive skin.
5. **100% Genuine**: All ACM products are authentic and backed by the brand's commitment to quality.","Gently massage onto damp skin in circular motions, then rinse thoroughly. For best results, use daily as part of your morning or evening skincare routine.",1,https://d3slxmaa2mql88.cloudfront.net/71236.jpg
71237,العناية بالبشرة,SKIN CARE,زيوت سيروم,SERUM OILS,,,ACM,29.95,ACM DUOLYS.A SERUM,ACM DUOLYS.A SERUM,3.76E+12,,"Experience the power of youthful, radiant skin with ACM's Duolys.A Serum! This revolutionary serum is your secret weapon against aging, harnessing the potency of pure Vitamin C and Retinol to tackle fine lines, wrinkles, and dullness. Ideal for all skin types, this intensive treatment visibly reduces signs of aging while boosting collagen production and enhancing skin texture. Say goodbye to tired, lackluster skin and hello to a more youthful, glowing you!","1. **Potent Anti-Aging Duo**: Combines pure Vitamin C and Retinol for maximum efficacy against fine lines and wrinkles.
2. **Intensive Treatment**: Ideal for all skin types, this serum targets loss of firmness, dullness, and aging signs.
3. **Collagen Boosting**: Stimulates collagen production to improve skin elasticity and texture.
4. **Vitamin C Powerhouse**: High concentration of pure Vitamin C acts as a powerful antioxidant, protecting skin from environmental damage.
5. **Synergistic Formula**: Unique combination of Retinol and Tocopheryl (Vitamin E) for enhanced anti-aging results","Apply 3-4 drops of Duolys.A Serum to your face and neck in the morning or evening, after cleansing and toning. Allow the serum to absorb fully before applying moisturizer.",1,https://d3slxmaa2mql88.cloudfront.net/71237.jpg
71238,مستحضرات طبية,DERMOCOSMETICS,منتجات طبية للوجه,DERMO FACE,عناية من الشمس طبي,DERMO SUN CARE,ACM,25.95,ACM DEPIWHITE S,ACM DEPIWHITE S,3.76E+12,"كريم ACM Depiwhite S SPF 50+ هو واقٍ من الشمس ذو حماية عالية مصمم خصيصًا للبشرة المعرضة للتصبغات والبقع الداكنة. يجمع بين فلاتر الشمس المتقدمة والمكونات النشطة للتفتيح، حيث يحمي البشرة من أشعة UVA وUVB الضارة، يمنع فرط التصبغ، ويعمل على تفتيح البقع الداكنة الموجودة. يتميز الكريم بقوام خفيف وغير دهني، مما يجعله مثاليًا للاستخدام اليومي، حيث يوفر حماية فعّالة مع تحسين لون البشرة.  المميزات الرئيسية: • حماية عالية من الشمس: SPF 50+ يوفر حماية واسعة الطيف من أشعة UVA وUVB. • مفعول مضاد للتصبغات: يمنع ظهور البقع الداكنة ويقلل من البقع الموجودة. • ترطيب البشرة: يوفر الرطوبة والراحة للبشرة. • قوام غير دهني: يُمتص بسرعة دون ترك آثار بيضاء. • مختبر جلدياً: هيبوالرجينيك ومناسب للبشرة الحساسة.  طريقة الاستخدام: 1. يُوضع بسخاء على بشرة نظيفة وجافة على الوجه والرقبة قبل التعرض للشمس. 2. يُعاد تطبيقه بشكل متكرر، خاصة بعد السباحة أو التعرق أو تجفيف البشرة. 3. يُستخدم يوميًا للحصول على حماية مثالية من التصبغات.  ","Experience radiant, even-toned skin with the ACM DEPIWHITE S, a revolutionary skincare product that's making waves in the beauty industry. This advanced formula is designed to tackle hyperpigmentation and dark spots, revealing your natural glow. Unlike other products that merely mask imperfections, DEPIWHITE S works deep within the skin to inhibit melanin production, providing long-lasting results. Don't just cover up; transform your skin with ACM's innovative technology.","1. **Advanced Melanin Inhibitor Technology** - Targets hyperpigmentation at its source for lasting clarity
2. **Safe and Effective** - Clinically proven to reduce dark spots without causing irritation or bleaching the skin
3. **Enhanced Absorption** - Formulated with ACM's proprietary delivery system for optimal penetration into the skin
4. **Versatile Usage** - Suitable for all skin types and tones, DEPIWHITE S can be used on both face and body
5. **Cruelty-Free and Vegan** - ACM is committed to ethical practices, ensuring no animal testing or ingredients are used in our products","Apply DEPIWHITE S twice daily after cleansing and toning. For optimal results, use in conjunction with other products from the ACM skincare range.",1,https://d3slxmaa2mql88.cloudfront.net/71238.jpg
71239,مستحضرات طبية,DERMOCOSMETICS,منتجات طبية للجسم,DERMO BODY,عناية الايدي طبي,DERMO HAND CARE,ACM,12.5,ACM NOVOPHANE NAIL,ACM NOVOPHANE NAIL,3.76E+12,,"Experience the transformative power of ACM's Novophane Nail Cream, your secret weapon against brittle nails and unsightly ridges. This rich, nourishing cream works deep within the nail bed to fortify, protect, and restore even the most damaged nails. Enriched with vitamins and minerals, it penetrates quickly and deeply, leaving nails stronger, smoother, and healthier-looking. Unlike other nail creams that merely coat the surface, Novophane Nail Cream actively repairs and regenerates, making it a standout choice among beauty enthusiasts and professionals alike. Say goodbye to weak, splitting nails and hello to a stunning, even manicure with ACM's Novophane Nail Cream.","1. Deeply penetrates and repairs damaged nails
2. Fortifies nails against breakage and splitting
3. Smooths out ridges and improves nail texture
4. Quick-absorbing formula, non-greasy finish
5. Enriched with vitamins and minerals for optimal nail health","Gently massage a small amount of cream into each nail after showering or bathing, while nails are still damp. Allow cream to absorb fully before applying polish or engaging in activities that may cause hands to get wet.",1,https://d3slxmaa2mql88.cloudfront.net/71239.jpg
71240,مستحضرات طبية,DERMOCOSMETICS,منتجات طبية للوجه,DERMO FACE,مرطب الوجه طبي,DERMO FACE MOISTURIZING,ACM,10.7,ACM SENSITELIAL EMOLLIENT CARE,ACM SENSITELIAL EMOLLIENT CARE,3.76E+12,,"Experience the soothing relief of ACM Sensitelial Emollient Care, your ultimate solution for dry or atopic skin. This intensive moisturizer is specifically designed to provide long-lasting hydration and immediate comfort, making it perfect for daily use on both face and body. Unlike other products that may strip your skin of its natural oils, Sensitelial Emollient Care gently cleanses while restoring lipids, leaving your skin feeling soft and supple.","1. **Intensive Moisturizing**: Provides long-lasting hydration to very dry and atopy-prone skin.
2. **Lipid-Restoring Active Substances**: Helps restore the skin's natural barrier function
3. **Soothes Itching & Tautness**: Offers immediate relief from itching and tautness sensations
4. **Gentle Cleansing**: Effectively cleanses without drying out the skin or disrupting its natural balance
5. **Suitable for Face & Body**: Can be used on both face and body, making it a versatile addition to your skincare routine",Apply a generous amount of Sensitelial Emollient Care to damp skin after cleansing. Gently massage until fully absorbed for optimal results.,1,https://d3slxmaa2mql88.cloudfront.net/71240.jpg
71241,مستحضرات طبية,DERMOCOSMETICS,منتجات طبية للجسم,DERMO BODY,تبييض الجسم طبي,DERMO BODY WHITENING,ACM,29.95,ACM DEPIWHITE BODY MILK,ACM DEPIWHITE BODY MILK,3.76E+12,"حليب الجسم ACM Depiwhite هو لوشن مرطب ومفتح مصمم لتقليل التصبغات وتوحيد لون البشرة. غني بالمكونات النشطة والمرطبة، يعمل هذا الحليب على تفتيح البقع الداكنة ومنع ظهورها مرة أخرى مع ترطيب البشرة بعمق. يتميز بقوام خفيف وغير دهني يجعله مناسبًا للاستخدام اليومي، ليترك بشرتك ناعمة، ملساء، ومشرقة.  المميزات الرئيسية: • تفتيح البشرة: يساعد في تفتيح التصبغات ويوحد لون البشرة. • ترطيب مكثف: يوفر ترطيبًا طويل الأمد لبشرة ناعمة ومرنة. • منع ظهور التصبغات: يقلل من تكوّن البقع الداكنة الجديدة. • قوام خفيف: يُمتص بسرعة دون ترك بقايا دهنية. • مختبر جلدياً: مناسب لجميع أنواع البشرة، بما في ذلك البشرة الحساسة.  طريقة الاستخدام: 1. يُوضع بسخاء على بشرة نظيفة وجافة. 2. يُدلك بلطف حتى يتم امتصاصه بالكامل. 3. يُستخدم يوميًا للحصول على أفضل النتائج، مع التركيز على المناطق المعرضة للتصبغات.  ","Experience the transformative power of ACM's Depiwhite Body Milk, a unisex cream designed to brighten your complexion and moisturize dry skin. Enriched with lactic acid, this 500ml body milk targets brown spots like melasma and liver spots, promoting an even skin tone. Its rich moisturizing agents ensure long-lasting hydration, soothing taut sensations, and restoring skin comfort.","1. Brightens complexion by targeting brown spots like melasma and liver spots
2. Enriched with lactic acid for effective skin lightening
3. Rich moisturizing agents ensure long-lasting hydration
4. Soothes taut skin sensations and restores skin comfort
5. Suitable for unisex use, promoting an even skin tone",Apply generously to your body after showering or bathing. Gently massage in circular motions until fully absorbed.,1,https://d3slxmaa2mql88.cloudfront.net/71241.jpg
71747,مستحضرات طبية,DERMOCOSMETICS,منتجات طبية للوجه,DERMO FACE,تبييض الوجه طبي,DERMO FACE WHITENING,ACM,35.95,ACM DEPIWHITE ADVANCED + MASK  OFFER,ACM DEPIWHITE ADVANCED + MASK  OFFER,200300349,,"Experience the power of advanced dermatological science with ACM Depiwhite Advanced + Mask Offer, a targeted solution for hyperpigmentation and uneven skin tone. This revolutionary duo combines the potency of our signature DEPIWHITE ADVANCED CREAM with the deep cleansing action of our peel-off mask. Vitamin C and Kojic Acid work synergistically to reduce melanin production, fade dark spots, and reveal a more even, radiant complexion. Ideal for all skin types, this unisex product offers visible results in just 4 weeks.","1. Patented formula with proteolytic enzymes for melanin degradation
2. Vitamin C and Kojic Acid to reduce hyperpigmentation and even skin tone
3. Deep cleansing peel-off mask for enhanced results
4. Suitable for all skin types, unisex product
5. Visible results in just 4 weeks","Apply DEPIWHITE ADVANCED CREAM daily after cleansing. For optimal results, use the peel-off mask once weekly, leaving it on for 15-20 minutes before gently peeling off.",1,https://d3slxmaa2mql88.cloudfront.net/71747.jpg
71748,مستحضرات طبية,DERMOCOSMETICS,منتجات طبية للوجه,DERMO FACE,تبييض الوجه طبي,DERMO FACE WHITENING,ACM,35.95,ACM DEPIWHITE ADVANCED + S OFFER,ACM DEPIWHITE ADVANCED + S OFFER,200300350,,"Experience the power of advanced dermatological science with ACM's Depiwhite Advanced + S Offer, a comprehensive 3-in-1 beauty set designed to tackle hyperpigmentation and uneven skin tone effectively. This French-made skincare solution combines three potent products in one convenient package: the Intensive Anti-Brown Spot Cream, Eye Contour Gel, and Brightening Body Milk. The cream targets face and body spots, while the eye gel solves multiple eye blemishes at once. The body milk unifies skin tone and reduces melanin production, making it perfect for all-over use. Say goodbye to dark spots and hello to radiant, even-toned skin with ACM's advanced formula.","1. **Advanced Formula**: Combines specific active substances to attenuate or eliminate brown spots and reduce melanin production.
2. **Patented Enzymes**: Utilizes proteolytic enzymes for melanin degradation, helping to significantly correct dark spots.
3. **Versatile Use**: Can be used on the face, neckline, hands, and body for comprehensive skincare solution.
4. **Non-Scented & Fluid**: Ideal for sensitive skin types with its non-scented, fluid texture that absorbs quickly without irritation.
5. **Complete Skincare Routine**: Includes three products in one set to target hyperpigmentation and uneven skin tone effectively","Apply the Intensive Anti-Brown Spot Cream morning and evening on affected areas after cleansing. Gently pat the Eye Contour Gel around the eye area twice daily. For all-over use, apply Brightening Body Milk liberally to damp skin after showering or bathing.",1,https://d3slxmaa2mql88.cloudfront.net/71748.jpg
